title,unitType,size, Chaoxiang,floor,nianfen,Community,address,unitPrice,price,detail_url
挥泪急售！朗悦玺园89平三室两厅 赠送一间房 好采光,3室2厅1卫,89㎡,南北,低层(共34层),2019年建造,朗悦公园道1号玺园,高新区-科学大道-枫杨街,138万,15506元/㎡,https://zhengzhou.anjuke.com/prop/view/S3064919786513414?auction=221&hpType=27&entry=102&position=0&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_0&from=from_esf_List_screen&index=0
金水北次新小区。出门就是地铁口，经典小三房，人车分流小区急售,3室2厅1卫,86.85㎡,南,高层(共33层),2021年建造,美景美境(一期),金水-国基路-国基路,158万,18193元/㎡,https://zhengzhou.anjuke.com/prop/view/S2943549971194881?auction=221&hpType=27&entry=102&position=1&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_1&from=from_esf_List_screen&index=1
风和日丽电梯房标准三房，看房有钥匙，育才 郑州一中分校！,3室1厅1卫,89.81㎡,南,高层(共34层),2014年建造,风和日丽家园,中原-五龙口-煤仓北路16号,106万,11803元/㎡,https://zhengzhou.anjuke.com/prop/view/S3056603765269518?auction=221&hpType=27&entry=102&position=2&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_2&from=from_esf_List_screen&index=2
南北通透 双卫生间 大户型 刚需直选 美盛·教育港湾 考虑可私聊,2室2厅1卫,75㎡,东,NAN,NAN,美盛·教育港湾,金水-绿荫广场-北三环与普庆路交汇处西北角,139万,18534元/㎡,https://zhengzhou.anjuke.com/prop/view/S3042170019388424?auction=221&hpType=27&entry=102&position=3&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_3&from=from_esf_List_screen&index=3
人车分流次新社区，拎包入住，性价比高，交通方便,3室2厅1卫,87.8㎡,东南,高层(共34层),2017年建造,保利永威西溪花园,高新区-科学大道-白杨路12号,107万,12187元/㎡,https://zhengzhou.anjuke.com/prop/view/S3035460345588739?auction=221&hpType=27&entry=102&position=4&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_4&from=from_esf_List_screen&index=4
双地铁 财信 通透三房 诚心急售 低于市场价28万 随时看房,3室2厅1卫,90㎡,南北,低层(共34层),2015年建造,财信圣堤亚纳,郑东新区-黄河东路-商都路21号,168万,18667元/㎡,https://zhengzhou.anjuke.com/prop/view/S3049384761057283?auction=221&hpType=27&entry=102&position=5&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_5&from=from_esf_List_screen&index=5
急售好楼层 全款房 随时过户 看房有钥匙 紧邻一附小,3室2厅1卫,89㎡,南,中层(共33层),2012年建造,美景菩提,高新区-科学大道-科学大道59号,132万,14832元/㎡,https://zhengzhou.anjuke.com/prop/view/S3055039880519694?auction=221&hpType=27&entry=102&position=6&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_6&from=from_esf_List_screen&index=6
厨卫全明 双卫生间 大户型 刚需直选 美盛·教育港湾 考虑可私聊,3室2厅1卫,89㎡,南,NAN,NAN,美盛·教育港湾,金水-绿荫广场-北三环与普庆路交汇处西北角,165万,18540元/㎡,https://zhengzhou.anjuke.com/prop/view/S2610760467180549?auction=221&hpType=27&entry=102&position=7&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_7&from=from_esf_List_screen&index=7
业主急售 永威物业 随时看房 性价比 的一套房子,3室2厅1卫,91㎡,南北,低层(共33层),2020年建造,永威城澜溪庭,管城-管南片-宇通路,113万,12418元/㎡,https://zhengzhou.anjuke.com/prop/view/S3060617769018379?auction=221&hpType=27&entry=102&position=8&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_8&from=from_esf_List_screen&index=8
美景鸿城 两梯三户 双地铁 满五年税费少 业主置换急售,3室2厅1卫,92.05㎡,东,中层(共34层),2011年建造,美景鸿城(一期鸿韵),管城-管南片-腾飞路1号,112万,12168元/㎡,https://zhengzhou.anjuke.com/prop/view/S3005555219930119?auction=221&hpType=27&entry=102&position=9&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_9&from=from_esf_List_screen&index=9
电梯房 房龄新 板楼 配套齐全 正南朝向 小三居 动静分离,3室2厅1卫,89㎡,南,中层(共33层),2017年建造,恒大绿洲(四期),经开区-第八大街-经开第七大街，近经南五路,149.5万,16798元/㎡,https://zhengzhou.anjuke.com/prop/view/S3048593482718212?auction=221&hpType=27&entry=102&position=10&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_10&from=from_esf_List_screen&index=10
五龙口 升龙天汇广场1号院 中间好楼层 小三房 次新小区,3室2厅1卫,88㎡,南,中层(共34层),2016年建造,升龙天汇广场1号院,中原-五龙口-桐柏北路，近五龙口路,100万,11364元/㎡,https://zhengzhou.anjuke.com/prop/view/S3013916513037323?auction=221&hpType=27&entry=102&position=11&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_11&from=from_esf_List_screen&index=11
南北通透 玄关入户 小户型 低总价 泉舜上城 欢迎联系看房,2室1厅1卫,52.76㎡,南,NAN,NAN,泉舜上城(新房),金水-南阳路-黄河路与南阳路交汇处向东100米路北,82万,15543元/㎡,https://zhengzhou.anjuke.com/prop/view/S2610996194024456?auction=221&hpType=27&entry=102&position=12&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_12&from=from_esf_List_screen&index=12
升龙天玺二号院 临地铁 满五 商业配套齐全 正规商品房,3室2厅1卫,90.68㎡,南北,中层(共34层),2017年建造,升龙天玺二号院,二七-万达广场-大学路,116万,12793元/㎡,https://zhengzhou.anjuke.com/prop/view/S2645090990386187?auction=221&hpType=27&entry=102&position=13&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_13&from=from_esf_List_screen&index=13
